0,1,2
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,conscious hip hop
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,hip hop
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,rap
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,west coast rap
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,alternative r&b
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,hip hop
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,rap
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,underground hip hop
blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,pop
blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,pop rap
BROCKHAMPTON,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,boy band
BROCKHAMPTON,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,hip hop
BROCKHAMPTON,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,rap
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,alternative r&b
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,chicago rap
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,escape room
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,hip hop
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,indie soul
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,neo soul
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,underground hip hop
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,alternative r&b
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,chicago rap
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,hip hop
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,rap
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,underground hip hop
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,canadian contemporary r&b
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,pop
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,r&b
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,alternative r&b
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,hip hop
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,lgbtq+ hip hop
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,neo soul
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,pop
"Tyler, The Creator",spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,hip hop
"Tyler, The Creator",spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,rap
James Blake,spotify:artist:53KwLdlmrlCelAZMaLVZqU,alternative r&b
James Blake,spotify:artist:53KwLdlmrlCelAZMaLVZqU,art pop
James Blake,spotify:artist:53KwLdlmrlCelAZMaLVZqU,indie r&b
James Blake,spotify:artist:53KwLdlmrlCelAZMaLVZqU,indie soul
James Blake,spotify:artist:53KwLdlmrlCelAZMaLVZqU,uk alternative pop
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,hip hop
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,rap
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,underground hip hop
Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,chicago rap
Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,conscious hip hop
Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,hip hop
Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,pop rap
Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,rap
Anderson .Paak,spotify:artist:3jK9MiCrA42lLAdMGUZpwa,escape room
