0,1,2
H.E.R.,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,alternative r&b
H.E.R.,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,dance pop
H.E.R.,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,pop
H.E.R.,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,r&b
Antônio Carlos Jobim,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,adult standards
Antônio Carlos Jobim,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,bossa nova
Antônio Carlos Jobim,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,brazilian classical
Antônio Carlos Jobim,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,brazilian jazz
Antônio Carlos Jobim,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,latin classical
Antônio Carlos Jobim,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,mpb
Antônio Carlos Jobim,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,violao
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,pop
XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4,emo rap
XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4,miami hip hop
Jorja Smith,spotify:artist:1CoZyIx7UvdxT5c8UkMzHd,dance pop
Jorja Smith,spotify:artist:1CoZyIx7UvdxT5c8UkMzHd,pop
Jorja Smith,spotify:artist:1CoZyIx7UvdxT5c8UkMzHd,r&b
Jorja Smith,spotify:artist:1CoZyIx7UvdxT5c8UkMzHd,uk contemporary r&b
twikipedia,spotify:artist:2V8aJ7qCArKAmHAX7u81Sj,glitchcore
Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,dance pop
Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,pop
Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms,art pop
Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms,dance pop
Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms,pop
Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,dance pop
Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,pop
Kid Cudi,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,hip hop
Kid Cudi,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,ohio hip hop
Kid Cudi,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,pop rap
Kid Cudi,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,rap
Marcellus Juvann,spotify:artist:207WozQ2u38q4rRu9quqMU,deep underground hip hop
Marcellus Juvann,spotify:artist:207WozQ2u38q4rRu9quqMU,indie hip hop
Marcellus Juvann,spotify:artist:207WozQ2u38q4rRu9quqMU,underground hip hop
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,canadian pop
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,pop
OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,dance pop
OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,neo mellow
OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,piano rock
OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,pop
OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,pop rock
smle,spotify:artist:1JV42BPeocUJ0EyQh8ug6V,edm
smle,spotify:artist:1JV42BPeocUJ0EyQh8ug6V,future bass
smle,spotify:artist:1JV42BPeocUJ0EyQh8ug6V,gaming edm
smle,spotify:artist:1JV42BPeocUJ0EyQh8ug6V,pop edm
smle,spotify:artist:1JV42BPeocUJ0EyQh8ug6V,vapor twitch
Nai Palm,spotify:artist:5X0dCi2aVnYEV27S8wgQdF,alternative r&b
Nai Palm,spotify:artist:5X0dCi2aVnYEV27S8wgQdF,indie jazz
Nai Palm,spotify:artist:5X0dCi2aVnYEV27S8wgQdF,indie soul
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,pop
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,pop rock
Sufjan Stevens,spotify:artist:4MXUO7sVCaFgFjoTI5ox5c,baroque pop
Sufjan Stevens,spotify:artist:4MXUO7sVCaFgFjoTI5ox5c,chamber pop
Sufjan Stevens,spotify:artist:4MXUO7sVCaFgFjoTI5ox5c,freak folk
Sufjan Stevens,spotify:artist:4MXUO7sVCaFgFjoTI5ox5c,indie folk
Sufjan Stevens,spotify:artist:4MXUO7sVCaFgFjoTI5ox5c,singer-songwriter
Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG,pop
Bon Iver,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,eau claire indie
Bon Iver,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,indie folk
Bon Iver,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,melancholia
SAINt JHN,spotify:artist:0H39MdGGX6dbnnQPt6NQkZ,melodic rap
SAINt JHN,spotify:artist:0H39MdGGX6dbnnQPt6NQkZ,pop rap
SAINt JHN,spotify:artist:0H39MdGGX6dbnnQPt6NQkZ,rap
SAINt JHN,spotify:artist:0H39MdGGX6dbnnQPt6NQkZ,slap house
SAINt JHN,spotify:artist:0H39MdGGX6dbnnQPt6NQkZ,trap
Luiz Bonfá,spotify:artist:174ThXFgQg2VCq9r3m8ceb,bossa nova
Luiz Bonfá,spotify:artist:174ThXFgQg2VCq9r3m8ceb,brazilian jazz
Luiz Bonfá,spotify:artist:174ThXFgQg2VCq9r3m8ceb,jazz guitar
Luiz Bonfá,spotify:artist:174ThXFgQg2VCq9r3m8ceb,samba-jazz
Luiz Bonfá,spotify:artist:174ThXFgQg2VCq9r3m8ceb,violao
Jay Rock,spotify:artist:28ExwzUQsvgJooOI0X1mr3,conscious hip hop
Jay Rock,spotify:artist:28ExwzUQsvgJooOI0X1mr3,gangster rap
Jay Rock,spotify:artist:28ExwzUQsvgJooOI0X1mr3,hip hop
Jay Rock,spotify:artist:28ExwzUQsvgJooOI0X1mr3,pop rap
Jay Rock,spotify:artist:28ExwzUQsvgJooOI0X1mr3,rap
Jay Rock,spotify:artist:28ExwzUQsvgJooOI0X1mr3,southern hip hop
Jay Rock,spotify:artist:28ExwzUQsvgJooOI0X1mr3,trap
Jay Rock,spotify:artist:28ExwzUQsvgJooOI0X1mr3,underground hip hop
Justin Timberlake,spotify:artist:31TPClRtHm23RisEBtV3X7,dance pop
Justin Timberlake,spotify:artist:31TPClRtHm23RisEBtV3X7,pop
The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,modern alternative rock
The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,modern rock
The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,pop
The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,rock
Bill Evans,spotify:artist:4jXfFzeP66Zy67HM2mvIIF,bebop
Bill Evans,spotify:artist:4jXfFzeP66Zy67HM2mvIIF,cool jazz
Bill Evans,spotify:artist:4jXfFzeP66Zy67HM2mvIIF,jazz
Bill Evans,spotify:artist:4jXfFzeP66Zy67HM2mvIIF,jazz fusion
Bill Evans,spotify:artist:4jXfFzeP66Zy67HM2mvIIF,jazz piano
Bill Evans,spotify:artist:4jXfFzeP66Zy67HM2mvIIF,vocal jazz
Oscar Peterson,spotify:artist:6zkX5fhrSD4tdVOmimR9wB,adult standards
Oscar Peterson,spotify:artist:6zkX5fhrSD4tdVOmimR9wB,bebop
Oscar Peterson,spotify:artist:6zkX5fhrSD4tdVOmimR9wB,jazz
Oscar Peterson,spotify:artist:6zkX5fhrSD4tdVOmimR9wB,jazz piano
Oscar Peterson,spotify:artist:6zkX5fhrSD4tdVOmimR9wB,stride
Oscar Peterson,spotify:artist:6zkX5fhrSD4tdVOmimR9wB,vocal jazz
Anderson .Paak,spotify:artist:3jK9MiCrA42lLAdMGUZpwa,escape room
Migos,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,atl hip hop
Migos,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,rap
Migos,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,trap
Sarah Cothran,spotify:artist:3kft86DbqCNr7rjq3pEj0G,gen z singer-songwriter
Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,dark trap
Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,drill
Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,hip hop
Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,miami hip hop
Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,rap
Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,underground hip hop
THEY.,spotify:artist:0pghUohLPptZWBasy2wmUx,alternative r&b
THEY.,spotify:artist:0pghUohLPptZWBasy2wmUx,pop rap
THEY.,spotify:artist:0pghUohLPptZWBasy2wmUx,r&b
THEY.,spotify:artist:0pghUohLPptZWBasy2wmUx,trap soul
THEY.,spotify:artist:0pghUohLPptZWBasy2wmUx,underground hip hop
21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft,atl hip hop
21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft,rap
21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft,trap
