0,1,2,3,4,5,6
100 gecs,spotify:artist:6PfSUFtkMVoDkx4MQkzOi3,1000 gecs,spotify:album:2uhB1KivbFnlkARpbd0Cvu,2019-05-31,hand crushed by a mallet,spotify:track:7CUkeiG7QtB7tPU9f8SANS
Laura Les,spotify:artist:3sklFG9fuDAq3vbIZlkNH6,1000 gecs,spotify:album:2uhB1KivbFnlkARpbd0Cvu,2019-05-31,hand crushed by a mallet,spotify:track:7CUkeiG7QtB7tPU9f8SANS
Dylan Brady,spotify:artist:2Cm6C9PNHioyjRKBfO7n9N,1000 gecs,spotify:album:2uhB1KivbFnlkARpbd0Cvu,2019-05-31,hand crushed by a mallet,spotify:track:7CUkeiG7QtB7tPU9f8SANS
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,Ziplock / Rich Don't Stop,spotify:album:6b8FK7hZBmoR4GaaeFIqCk,2021-03-18,Rich Don't Stop,spotify:track:0ZTnxnWqzIyClPgZdsC2vk
24kGoldn,spotify:artist:6fWVd57NKTalqvmjRd2t8Z,DROPPED OUTTA COLLEGE,spotify:album:2eLpj5EDUhyAoTks8sxcKR,2019-11-22,CITY OF ANGELS,spotify:track:6ap9lSRJ0iLriGLqoJ44cq
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,i,spotify:album:51C65YqHrDODM1hD5FEL5x,2014-09-23,i,spotify:track:7wdzLe2Gsx1RGqbvYZHASz
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,L.M.F.,spotify:track:2KmYPKHvwG77NAcDpFlLBm
Jhené Aiko,spotify:artist:5ZS223C6JyBfXasXxrRqOk,Chilombo,spotify:album:5jlE1zlhT3mEWw0mRpN920,2020-03-06,Lotus - intro,spotify:track:1aWBNkWrY3VA2eeV6ljGQf
Cautious Clay,spotify:artist:6iWuBN32BqCJAeXW6o3nil,Deadpan Love,spotify:album:68ioJPPDh78BdVruabXHVn,2021-06-25,Karma & Friends,spotify:track:1ugvFLfVoBSIyLam35yATm
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,The Life Of Pablo,spotify:album:7gsWAHLeT0w7es6FofOXk1,2016-06-10,Waves,spotify:track:3nAq2hCr1oWsIU54tS98pL
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,blkswn,spotify:album:3bTjPEgPzm1XwXsNlMVHhs,2017-03-14,Spitshine,spotify:track:3OQdQYHxBUN5YZDmbjc08z
SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,Good Days,spotify:album:781cKhbTPwLnPmo9BALQl7,2020-12-25,Good Days,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,untitled unmastered.,spotify:album:0kL3TYRsSXnu0iJvFO3rud,2016-03-04,untitled 02 | 06.23.2014.,spotify:track:3I0FBDc1c1BLNtXWKVjmFg
Bas,spotify:artist:70gP6Ry4Uo0Yx6uzPIdaiJ,Spilled Milk 1,spotify:album:5L0fqBCRKpkOHDNiwTgJbZ,2019-08-09,Fried Rice (with JID),spotify:track:5ismU0nq9mjhseSq1pLcuZ
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,Spilled Milk 1,spotify:album:5L0fqBCRKpkOHDNiwTgJbZ,2019-08-09,Fried Rice (with JID),spotify:track:5ismU0nq9mjhseSq1pLcuZ
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,channel ORANGE,spotify:album:392p3shh2jkxUxY2VHvlH8,2012-07-10,Lost,spotify:track:3GZD6HmiNUhxXYf8Gch723
JKuch,spotify:artist:7oRWzmj2sdRKqbgwbEmODT,Slow Dancing in the Dark,spotify:album:79WfX7ZEUGNqov7jDsVeRw,2019-01-18,Slow Dancing in the Dark,spotify:track:10I02DrtUhI9ElJAJ08Mjd
The 1975,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,A Brief Inquiry Into Online Relationships,spotify:album:6PWXKiakqhI17mTYM4y6oY,2018-11-30,I Like America & America Likes Me,spotify:track:1RHuBRoACkLRo2vjGqFCwf
Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,Goodbye & Good Riddance,spotify:album:6tkjU4Umpo79wwkgPMV3nZ,2018-12-10,Lucid Dreams,spotify:track:285pBltuF7vW8TeWk8hdRR
Isaiah Rashad,spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM,The Sun's Tirade,spotify:album:6jjX8mGrsWtrpYpFhGMrg1,2016-09-02,Wat's Wrong (feat. Zacari & Kendrick Lamar),spotify:track:2RPbEp0DyBVlkRvvYKopO7
Zacari,spotify:artist:3qBKjEOanahMxlRojwCzhI,The Sun's Tirade,spotify:album:6jjX8mGrsWtrpYpFhGMrg1,2016-09-02,Wat's Wrong (feat. Zacari & Kendrick Lamar),spotify:track:2RPbEp0DyBVlkRvvYKopO7
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,The Sun's Tirade,spotify:album:6jjX8mGrsWtrpYpFhGMrg1,2016-09-02,Wat's Wrong (feat. Zacari & Kendrick Lamar),spotify:track:2RPbEp0DyBVlkRvvYKopO7
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,BAM 2x,spotify:track:39M9NokmUeFunaUNoCIsp4
twikipedia,spotify:artist:2V8aJ7qCArKAmHAX7u81Sj,hotel,spotify:album:1LGOBioMfAMWmQAItKYezd,2021-04-01,hotel,spotify:track:7m779WnE2a8dww2cbtDa9E
SEBii,spotify:artist:5fAix5NwfNgHQqYRrHIPxo,hotel,spotify:album:1LGOBioMfAMWmQAItKYezd,2021-04-01,hotel,spotify:track:7m779WnE2a8dww2cbtDa9E
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,Papaya,spotify:album:7qx9fU1m2vNrbgdIRc0zkn,2018-12-07,Papaya,spotify:track:79YUO28pB2fGxsmigK3Sjv
daedaePIVOT,spotify:artist:1H78Q8wCK3PAvs1G3ocexx,Papaya,spotify:album:7qx9fU1m2vNrbgdIRc0zkn,2018-12-07,Papaya,spotify:track:79YUO28pB2fGxsmigK3Sjv
twikipedia,spotify:artist:2V8aJ7qCArKAmHAX7u81Sj,talk,spotify:album:64EfqWjy3dCUSSSqexQsZ5,2020-10-07,talk down,spotify:track:0EQsvl1H51El8ZCnYbSsSp
SEBii,spotify:artist:5fAix5NwfNgHQqYRrHIPxo,talk,spotify:album:64EfqWjy3dCUSSSqexQsZ5,2020-10-07,talk down,spotify:track:0EQsvl1H51El8ZCnYbSsSp
Lil Nas X,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,INDUSTRY BABY (feat. Jack Harlow),spotify:album:622NFw5Yk0OReMJ2XWcXUh,2021-07-23,INDUSTRY BABY (feat. Jack Harlow),spotify:track:27NovPIUIRrOZoCHxABJwK
Jack Harlow,spotify:artist:2LIk90788K0zvyj2JJVwkJ,INDUSTRY BABY (feat. Jack Harlow),spotify:album:622NFw5Yk0OReMJ2XWcXUh,2021-07-23,INDUSTRY BABY (feat. Jack Harlow),spotify:track:27NovPIUIRrOZoCHxABJwK
Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,Heat Waves,spotify:album:69K1zrf6TkXHdYUO8n2qVi,2020-06-29,Heat Waves,spotify:track:6CDzDgIUqeDY5g8ujExx2f
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,Kajun,spotify:album:2PSlV2yMCBJhhU4QyqMD6t,2016-08-19,Kajun,spotify:track:2CYDcunjh8q0F8wDEMW7F7
Jean Deaux,spotify:artist:4JqpJeNOhP6bAkolNMLwFg,Kajun,spotify:album:2PSlV2yMCBJhhU4QyqMD6t,2016-08-19,Kajun,spotify:track:2CYDcunjh8q0F8wDEMW7F7
Phoelix,spotify:artist:2TKC2gVUNBUAlFqfLUoaj0,Kajun,spotify:album:2PSlV2yMCBJhhU4QyqMD6t,2016-08-19,Kajun,spotify:track:2CYDcunjh8q0F8wDEMW7F7
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,CARE FOR ME,spotify:album:6Te111t5gDZ7W94myHRqUt,2018-04-05,LIFE,spotify:track:3au0pvHqcTtszysswan6AO
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,Freudian,spotify:album:3xybjP7r2VsWzwvDQipdM0,2017-08-25,Freudian,spotify:track:4nESnAOALHmxg8UFCCtXhO
Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",spotify:album:2fYhqwDWXjbpjaIJPEfKFw,2019-02-08,needy,spotify:track:1TEL6MlSSVLSdhOSddidlJ
In Love With a Ghost,spotify:artist:21tDFddcOFDYmiobTcls2O,Let's Go,spotify:album:7A1vIevZg3nz7jOjbfNh6R,2017-10-23,Flowers,spotify:track:5VnaOLeK1lKfULuNwet8ck
Nori,spotify:artist:1ZVchQJoK0CP4PR7bgr2Lo,Let's Go,spotify:album:7A1vIevZg3nz7jOjbfNh6R,2017-10-23,Flowers,spotify:track:5VnaOLeK1lKfULuNwet8ck
Madeon,spotify:artist:4pb4rqWSoGUgxm63xmJ8xc,Good Faith,spotify:album:6Lq1lrCfkpxKa4jCo5gKWr,2019-11-15,Heavy With Hoping,spotify:track:2W2e6TBrwJt4ASh5jyYgvZ
Coffee Date,spotify:artist:74ZWzuwsxGAt05s2sWtq0j,Coffee Date,spotify:album:6inLLukb7YWq47F55crpGv,2020-11-27,Dearly Beloved,spotify:track:6iOdWDRGIGpDhqdVSExnPx
GameChops,spotify:artist:1T7zBkQCOCacKjbnmFX7cp,Coffee Date,spotify:album:6inLLukb7YWq47F55crpGv,2020-11-27,Dearly Beloved,spotify:track:6iOdWDRGIGpDhqdVSExnPx
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,SPINZ,spotify:track:3WiCqMk8qUREjPsjubiPIK
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,DiCaprio 2,spotify:album:2oI6gtIXrvNiL2VEMmj5kY,2018-11-26,Skrawberries (feat. BJ The Chicago Kid),spotify:track:076jPFqxYEu1me4zsTBWJ0
BJ The Chicago Kid,spotify:artist:07d5etnpjriczFBB8pxmRe,DiCaprio 2,spotify:album:2oI6gtIXrvNiL2VEMmj5kY,2018-11-26,Skrawberries (feat. BJ The Chicago Kid),spotify:track:076jPFqxYEu1me4zsTBWJ0
Mereba,spotify:artist:294lNTPZfdqyzt8qnxmFiL,The Jungle Is The Only Way Out,spotify:album:40L9yPrh6yD1ECI3ofNfPc,2019-02-27,Sandstorm (feat. JID),spotify:track:1NlWBpNYAnFT7gMGyC0Y1M
