0,1,2
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,alternative r&b
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,hip hop
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,rap
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,underground hip hop
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,alternative r&b
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,chicago rap
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,hip hop
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,rap
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,underground hip hop
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,alternative r&b
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,hip hop
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,lgbtq+ hip hop
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,neo soul
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,pop
Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,chicago rap
Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,conscious hip hop
Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,hip hop
Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,pop rap
Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,rap
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,conscious hip hop
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,hip hop
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,rap
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,west coast rap
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,pop
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,uk pop
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,hip hop
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,rap
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,underground hip hop
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,pop
Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,dance pop
Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,pop
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,canadian contemporary r&b
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,pop
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,r&b
blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,pop
blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,pop rap
BROCKHAMPTON,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,boy band
BROCKHAMPTON,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,hip hop
BROCKHAMPTON,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,rap
Isaiah Rashad,spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM,hip hop
Isaiah Rashad,spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM,rap
Isaiah Rashad,spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM,tennessee hip hop
Isaiah Rashad,spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM,underground hip hop
Aminé,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,hip hop
Aminé,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,pop
Aminé,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,portland hip hop
Aminé,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,rap
Aminé,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,underground hip hop
Marc E. Bassy,spotify:artist:3tQx1LPXbsYjE9VwN1Peaa,pop
Marc E. Bassy,spotify:artist:3tQx1LPXbsYjE9VwN1Peaa,pop rap
Marc E. Bassy,spotify:artist:3tQx1LPXbsYjE9VwN1Peaa,r&b
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,barbadian pop
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,dance pop
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,pop
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,pop rap
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,urban contemporary
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,kentucky hip hop
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,pop
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,pop rap
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,r&b
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,rap
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,trap
Porter Robinson,spotify:artist:3dz0NnIZhtKKeXZxLOxCam,complextro
Porter Robinson,spotify:artist:3dz0NnIZhtKKeXZxLOxCam,edm
Porter Robinson,spotify:artist:3dz0NnIZhtKKeXZxLOxCam,future bass
Porter Robinson,spotify:artist:3dz0NnIZhtKKeXZxLOxCam,pop dance
Porter Robinson,spotify:artist:3dz0NnIZhtKKeXZxLOxCam,progressive electro house
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,atl hip hop
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,dance pop
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,hip hop
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,pop
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,pop rap
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,rap
B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,southern hip hop
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,pop
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,pop rock
Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,rap
Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,slap house
