0,1,2,3,4,5,6
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,I Deserve (w/ NOS.),spotify:album:1jCHZ0ggPkFnm5b1r5ZY8V,2021-11-11,I Deserve (w/ NOS.),spotify:track:4SqPtAd2irUOyLoLcOFtkl
NOS.,spotify:artist:7iRauMPdOJBF3RiDHKrXTB,I Deserve (w/ NOS.),spotify:album:1jCHZ0ggPkFnm5b1r5ZY8V,2021-11-11,I Deserve (w/ NOS.),spotify:track:4SqPtAd2irUOyLoLcOFtkl
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,blkswn,spotify:album:3bTjPEgPzm1XwXsNlMVHhs,2017-03-14,Spitshine,spotify:track:3OQdQYHxBUN5YZDmbjc08z
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,SKEDOS,spotify:track:0Ec3M0gdhQ4sUKd5vGEKqm
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,PIZANO,spotify:track:4cptnUQG5upQxFUPcrZMdU
The Japanese House,spotify:artist:3IunaFjvNKj98JW89JYv9u,Chewing Cotton Wool,spotify:album:1OlByJ5jsP9Eklfp03Xn8z,2020-08-12,Dionne (feat. Justin Vernon),spotify:track:15gL4n95OG5KEQLCMXPQzp
Justin Vernon,spotify:artist:13rHmjtJmlIJ2aDyJc7CLV,Chewing Cotton Wool,spotify:album:1OlByJ5jsP9Eklfp03Xn8z,2020-08-12,Dionne (feat. Justin Vernon),spotify:track:15gL4n95OG5KEQLCMXPQzp
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,DiCaprio 2,spotify:album:2oI6gtIXrvNiL2VEMmj5kY,2018-11-26,Tiiied (feat. 6LACK & Ella Mai),spotify:track:4kswfYbJFf6FPzMElZmtve
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,DiCaprio 2,spotify:album:2oI6gtIXrvNiL2VEMmj5kY,2018-11-26,Tiiied (feat. 6LACK & Ella Mai),spotify:track:4kswfYbJFf6FPzMElZmtve
Ella Mai,spotify:artist:7HkdQ0gt53LP4zmHsL0nap,DiCaprio 2,spotify:album:2oI6gtIXrvNiL2VEMmj5kY,2018-11-26,Tiiied (feat. 6LACK & Ella Mai),spotify:track:4kswfYbJFf6FPzMElZmtve
Jessie Reyez,spotify:artist:3KedxarmBCyFBevnqQHy3P,"Figures, a Reprise",spotify:album:5QBTekafQo0lH43ewstVZv,2018-03-26,"Figures, a Reprise",spotify:track:0qynxleiY0wavOijAW9trC
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,"Figures, a Reprise",spotify:album:5QBTekafQo0lH43ewstVZv,2018-03-26,"Figures, a Reprise",spotify:track:0qynxleiY0wavOijAW9trC
Halsey,spotify:artist:26VFTg2z8YR0cCuwLzESi2,Without Me (with Juice WRLD),spotify:album:6JFsisjpUarmCfG3lrfP4Q,2019-01-09,Without Me (with Juice WRLD),spotify:track:6Zc5f20q7sOe1IC1c1jQvZ
Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,Without Me (with Juice WRLD),spotify:album:6JFsisjpUarmCfG3lrfP4Q,2019-01-09,Without Me (with Juice WRLD),spotify:track:6Zc5f20q7sOe1IC1c1jQvZ
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,blkswn,spotify:album:3bTjPEgPzm1XwXsNlMVHhs,2017-03-14,Wild Irish Roses,spotify:track:6efkcs2aUBMFKxl0cl2JWQ
Joji,spotify:artist:3MZsBdqDrRTJihTHQrO6Dq,BALLADS 1,spotify:album:34GQP3dILpyCN018y2k61L,2018-10-26,SLOW DANCING IN THE DARK,spotify:track:0rKtyWc8bvkriBthvHKY8d
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,Z4L (with Bari & Jay2),spotify:track:3X6YJcqTinaNraRvojF62K
Bari,spotify:artist:3IrrjuvOPa1KFxq0Kk8pvN,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,Z4L (with Bari & Jay2),spotify:track:3X6YJcqTinaNraRvojF62K
Jay2,spotify:artist:5RoJ70jcjGUibtNjye7DwO,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,Z4L (with Bari & Jay2),spotify:track:3X6YJcqTinaNraRvojF62K
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,Freudian,spotify:album:3xybjP7r2VsWzwvDQipdM0,2017-08-25,Freudian,spotify:track:4nESnAOALHmxg8UFCCtXhO
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,KOVERT,spotify:track:23MF54AtVwpMkuQb4R70Rq
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,Baguetti (with JID & Kenny Beats),spotify:album:692sDiMDjKQpNM67yO8HLn,2020-07-21,Baguetti (with JID & Kenny Beats),spotify:track:3DcL8FXLA9iKwqnyj9POLt
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,Baguetti (with JID & Kenny Beats),spotify:album:692sDiMDjKQpNM67yO8HLn,2020-07-21,Baguetti (with JID & Kenny Beats),spotify:track:3DcL8FXLA9iKwqnyj9POLt
Kenny Beats,spotify:artist:1rHOtdmGNr5vcYNw5v7QGC,Baguetti (with JID & Kenny Beats),spotify:album:692sDiMDjKQpNM67yO8HLn,2020-07-21,Baguetti (with JID & Kenny Beats),spotify:track:3DcL8FXLA9iKwqnyj9POLt
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,HOOPTI,spotify:track:5deXgGdMVJ9udzS9eXYYeK
Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,Acid Rap,spotify:album:2VBcztE58pBKjIDS5oEgFh,2013-04-30,Lost,spotify:track:5v2ePUTZiv1mPDCD1nSbfF
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,Acid Rap,spotify:album:2VBcztE58pBKjIDS5oEgFh,2013-04-30,Lost,spotify:track:5v2ePUTZiv1mPDCD1nSbfF
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,SUMMER SALT (with Bari),spotify:track:6gIM8RWaTNL96Juv4gPSQX
Bari,spotify:artist:3IrrjuvOPa1KFxq0Kk8pvN,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,SUMMER SALT (with Bari),spotify:track:6gIM8RWaTNL96Juv4gPSQX
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,WE GOT THE BISCUITS,spotify:track:1fJL0EgvPrLIltnF0d3CbR
